DateTime,Open,High,Low,Close,Volume_(BTC)
2013-08-22,111.52,113.02,107.98,109.12,12231.93171666
2013-08-23,109.12,109.9,104.2,107.65,9469.67629666
2013-08-24,107.91,110.33,106.64,109.15,4332.68697991
2013-08-25,109.15,113.28,109.15,113.12,9343.16273408
2013-08-26,113.12,113.3,110.27,111.9,10842.80342417
2013-08-27,111.85,118.93,111.76,117.75,18924.73961217
2013-08-28,117.74,119.63,117.04,117.91,10195.73119445
2013-08-29,117.91,120.0,117.0,118.5,9789.33885357
2013-08-30,118.91,126.14,118.04,124.86,17374.35799114
2013-08-31,124.86,134.95,124.8,128.0,19981.34364226
2013-09-01,127.9,132.09,126.79,130.66,8021.56323583
2013-09-02,130.65,132.0,128.52,130.15,8939.39980324
2013-09-03,129.4,131.0,127.0,129.18,11994.57661966
2013-09-04,129.2,129.94,115.21,122.81,18821.05012844
2013-09-05,121.65,127.5,116.07,122.5,19236.83229586
2013-09-06,122.0,124.54,115.21,117.67,19391.20825469
2013-09-07,116.56,122.16,115.5,119.93,9676.9974976
2013-09-08,119.91,120.94,116.0,118.34,5458.68589096
2013-09-09,118.37,124.13,115.0,121.68,21345.72633659
2013-09-10,121.68,124.26,120.8,122.07,11319.88974811
2013-09-11,122.08,127.72,118.0,127.55,18550.2138604
2013-09-12,127.54,128.5,123.1,126.38,13856.21063312
2013-09-13,126.38,128.79,125.05,127.71,9309.9491962
2013-09-14,127.71,128.0,123.05,124.49,8711.86383564
2013-09-15,124.49,126.25,123.0,125.36,5360.8824298
2013-09-16,125.36,126.71,124.03,126.27,7602.347852
2013-09-17,126.28,127.69,125.47,126.92,8852.61357182
2013-09-18,126.92,128.0,124.2,127.0,13495.711053609999
2013-09-19,127.0,127.95,123.02,124.18,10236.24813846
2013-09-20,124.17,126.02,121.16,122.91,10505.08009305
2013-09-21,122.92,124.1,121.7,123.39,4154.19202354
2013-09-22,123.38,123.5,122.35,123.27,2882.09130233
2013-09-23,123.27,123.99,121.54,122.63,7736.9339578
2013-09-24,122.81,124.01,121.77,123.86,10183.16714023
2013-09-25,123.75,125.0,123.23,123.25,8053.1844009199995
2013-09-26,123.32,124.9,123.0,124.84,7784.8432092699995
