Date,Actual_Price,Predicted_Price,Abs_Error,Pct_Error,Directional_Error,Is_Outlier,Outlier_Type
2015-06-06,224.99,244.8337,19.843694458007803,8.819811750747945,-19.843694458007803,False,Normal
2015-06-07,222.7,244.27855,21.57854919433595,9.68951468088727,-21.57854919433595,False,Normal
2015-06-08,228.17,243.5168,15.346799926757825,6.726037571441393,-15.346799926757825,False,Normal
2015-06-09,228.7,244.45866,15.758663940429699,6.890539545443682,-15.758663940429699,False,Normal
2015-06-10,227.8,245.79108,17.99107666015624,7.897750948268762,-17.99107666015624,False,Normal
2015-06-11,229.03,246.93256,17.90255615234375,7.816686090181962,-17.90255615234375,False,Normal
2015-06-12,229.4,248.28918,18.889184570312494,8.234169385489318,-18.889184570312494,False,Normal
2015-06-13,231.64,249.58504,17.945037231445326,7.746950971958784,-17.945037231445326,False,Normal
2015-06-14,232.09,251.25948,19.16947570800781,8.259500929815076,-19.16947570800781,False,Normal
2015-06-15,235.92,252.82138,16.901380615234388,7.164030440502877,-16.901380615234388,False,Normal
2015-06-16,250.09,255.09947,5.009472045898434,2.00306771398234,-5.009472045898434,False,Normal
2015-06-17,247.76,260.80438,13.044382324218759,5.264926672674669,-13.044382324218759,False,Normal
2015-06-18,248.4,265.51566,17.11565551757812,6.890360514322914,-17.11565551757812,False,Normal
2015-06-19,243.7,269.55865,25.85865478515626,10.61085547195579,-25.85865478515626,False,Normal
2015-06-20,244.76,271.3979,26.63788818359376,10.88326858293584,-26.63788818359376,False,Normal
2015-06-21,243.64,272.5652,28.925185546875014,11.87210045430759,-28.925185546875014,False,Normal
2015-06-22,246.0,272.73645,26.7364501953125,10.868475689151422,-26.7364501953125,False,Normal
2015-06-23,243.74,273.02512,29.285115966796866,12.014899469433358,-29.285115966796866,False,Normal
2015-06-24,240.19,272.41345,32.2234521484375,13.415817539630085,-32.2234521484375,False,Normal
2015-06-25,241.98,270.6425,28.662486572265635,11.84498163991472,-28.662486572265635,False,Normal
2015-06-26,242.98,269.25656,26.276561279296885,10.814289768415872,-26.276561279296885,False,Normal
2015-06-27,251.21,268.25308,17.043082275390617,6.784396431428134,-17.043082275390617,False,Normal
2015-06-28,248.62,269.6043,20.984309082031245,8.440314167014417,-20.984309082031245,False,Normal
2015-06-29,256.04,270.45804,14.418038330078105,5.631166352944112,-14.418038330078105,False,Normal
2015-06-30,262.5,273.1916,10.69158935546875,4.0729864211309526,-10.69158935546875,False,Normal
2015-07-01,257.62,277.4888,19.86880004882812,7.7124447049251295,-19.86880004882812,False,Normal
2015-07-02,254.54,280.1185,25.578499755859383,10.04891166648047,-25.578499755859383,False,Normal
2015-07-03,255.92,281.25592,25.335920410156263,9.899937640730018,-25.335920410156263,False,Normal
2015-07-04,260.2,282.1183,21.91828613281251,8.423630335439091,-21.91828613281251,False,Normal
2015-07-05,271.5,283.6654,12.1654052734375,4.480812255409761,-12.1654052734375,False,Normal
2015-07-06,268.51,287.88312,19.37311767578126,7.215045128964008,-19.37311767578126,False,Normal
2015-07-07,265.51,290.96555,25.455545654296884,9.587415033067261,-25.455545654296884,False,Normal
2015-07-08,270.63,292.5927,21.962712402343755,8.11540198882007,-21.962712402343755,False,Normal
2015-07-09,268.92,294.87912,25.95911987304686,9.653101246856632,-25.95911987304686,False,Normal
2015-07-10,285.23,296.16077,10.930766601562482,3.8322639980235182,-10.930766601562482,False,Normal
2015-07-11,291.64000000000004,301.2269,9.586898193359332,3.287237070826817,-9.586898193359332,False,Normal
2015-07-12,310.55,307.54874,3.0012634277343864,0.9664348503411323,3.0012634277343864,True,Positive Spike
2015-07-13,292.68,318.0977,25.417686767578118,8.684463156887427,-25.417686767578118,False,Normal
2015-07-14,287.55,322.6922,35.14219970703124,12.221248376641014,-35.14219970703124,False,Normal
2015-07-15,285.67,324.13593,38.465925292968734,13.465160952486691,-38.465925292968734,False,Normal
2015-07-16,277.89,323.636,45.745986328125014,16.46190446871964,-45.745986328125014,False,Normal
2015-07-17,279.43,320.16144,40.73143798828124,14.576615964027212,-40.73143798828124,False,Normal
2015-07-18,276.79,316.68307,39.893074951171855,14.41275875254592,-39.893074951171855,False,Normal
2015-07-19,275.47,312.62918,37.1591809082031,13.489374853233778,-37.1591809082031,False,Normal
2015-07-20,278.96,308.63077,29.670767822265645,10.636208711738474,-29.670767822265645,False,Normal
2015-07-21,276.76,306.16013,29.400125732421884,10.622967817756138,-29.400125732421884,False,Normal
2015-07-22,277.68,303.80215,26.122154541015618,9.407286999789548,-26.122154541015618,False,Normal
2015-07-23,276.61,302.28442,25.674423828124986,9.281813321327856,-25.674423828124986,False,Normal
2015-07-24,289.01,301.0215,12.011514892578134,4.156089717510859,-12.011514892578134,False,Normal
2015-07-25,288.78,303.48737,14.707365722656277,5.092930854857081,-14.707365722656277,False,Normal
2015-07-26,293.19,306.24637,13.056368408203127,4.453210685290469,-13.056368408203127,False,Normal
2015-07-27,294.29,310.10245,15.812447509765605,5.37308352637385,-15.812447509765605,False,Normal
2015-07-28,294.01,313.91452,19.904520263671884,6.770014715034144,-19.904520263671884,False,Normal
2015-07-29,289.85,317.0756,27.225592041015602,9.392993631538934,-27.225592041015602,False,Normal
2015-07-30,288.01,318.4345,30.42450927734376,10.563698926198313,-30.42450927734376,False,Normal
2015-07-31,284.33,318.62878,34.298784179687516,12.063019793791552,-34.298784179687516,False,Normal
2015-08-01,280.19,317.36807,37.17807250976563,13.26887915691696,-37.17807250976563,False,Normal
2015-08-02,282.32,314.7588,32.43878906250001,11.490078302103997,-32.43878906250001,False,Normal
2015-08-03,280.43,312.735,32.30498535156249,11.519803641394462,-32.30498535156249,False,Normal
2015-08-04,285.0,310.49243,25.492431640625,8.944712856359649,-25.492431640625,False,Normal
2015-08-05,281.13,309.82132,28.69131958007813,10.205712510254376,-28.69131958007813,False,Normal
2015-08-06,277.48,308.52438,31.044383544921857,11.187971581707458,-31.044383544921857,False,Normal
2015-08-07,279.63,306.52933,26.89932739257813,9.619614273353406,-26.89932739257813,False,Normal
2015-08-08,262.19,305.37924,43.18924194335938,16.47249778533101,-43.18924194335938,False,Normal
2015-08-09,265.05,299.95844,34.90843505859374,13.170509359967452,-34.90843505859374,False,Normal
2015-08-10,264.33,295.6307,31.30070678710939,11.841526420424996,-31.30070678710939,False,Normal
2015-08-11,271.15,291.87717,20.727166748046898,7.644169923675788,-20.727166748046898,False,Normal
2015-08-12,267.73,290.81128,23.081279296874982,8.621103087765652,-23.081279296874982,False,Normal
2015-08-13,264.48,289.70682,25.226817626953107,9.538270427613849,-25.226817626953107,False,Normal
2015-08-14,265.4,288.3156,22.915612792968773,8.634368045579794,-22.915612792968773,False,Normal
2015-08-15,261.46,287.59778,26.13777832031252,9.996855473232051,-26.13777832031252,False,Normal
2015-08-16,256.11,286.23666,30.12666381835936,11.76317356540524,-30.12666381835936,False,Normal
2015-08-17,256.47,283.77664,27.306641845703098,10.647109543300617,-27.306641845703098,False,Normal
2015-08-18,224.8,281.7538,56.953814697265614,25.335326822627053,-56.953814697265614,True,Negative Drop
2015-08-19,226.92,271.8565,44.93650634765626,19.802796733499147,-44.93650634765626,False,Normal
2015-08-20,235.54,263.01263,27.472634277343758,11.663681021203939,-27.472634277343758,False,Normal
2015-08-21,233.49,257.78366,24.293660888671866,10.404583017975872,-24.293660888671866,False,Normal
